,file_name,flight,image,date,mean_red,sd_red,mean_green,sd_green,mean_blue,sd_blue
0,2019_Feb_06_Phantom_Flight_1_181_HSV_V_fixed,1,181,2019:02:06 10:04:44,21.15,21.86,30.22,25.88,10.7,14.26
0,2019_Feb_06_Phantom_Flight_1_261_HSV_V_fixed,1,261,2019:02:06 10:07:28,19.65,22.86,30.64,25.63,9.87,15.57
0,2019_Feb_06_Phantom_Flight_1_313_HSV_V_fixed,1,313,2019:02:06 10:09:12,17.26,22.48,31.38,26.19,8.4,14.72
0,2019_Feb_06_Phantom_Flight_2_498_HSV_V_fixed,2,498,2019:02:06 09:54:23,21.85,22.66,32.16,26.98,12.98,16.22
0,2019_Feb_06_Phantom_Flight_2_403_HSV_V_fixed,2,403,2019:02:06 09:51:13,20.51,21.25,31.35,26.52,13.27,16.07
0,2019_Feb_06_Phantom_Flight_1_388_HSV_V_fixed,1,388,2019:02:06 10:11:42,17.24,22.91,31.04,26.35,8.3,15.26
0,2019_Feb_06_Phantom_Flight_4_39_HSV_V_fixed,4,39,2019:02:06 10:46:46,19.06,22.75,31.1,26.19,13.24,17.72
0,2019_Feb_06_Phantom_Flight_3_131_HSV_V_fixed,3,131,2019:02:06 10:27:21,17.16,23.07,31.35,25.95,8.68,15.77
0,2019_Feb_06_Phantom_Flight_4_112_HSV_V_fixed,4,112,2019:02:06 10:49:12,21.52,24.25,31.2,26.28,13.68,18.75
0,2019_Feb_06_Phantom_Flight_2_229_HSV_V_fixed,2,229,2019:02:06 09:45:21,17.28,22.64,31.47,26.15,9.89,16.28
0,2019_Feb_06_Phantom_Flight_5_171_HSV_V_fixed,5,171,2019:02:06 11:08:41,19.1,23.38,31.29,26.39,13.16,18.5
0,2019_Feb_06_Phantom_Flight_4_189_HSV_V_fixed,4,189,2019:02:06 10:51:46,19.74,23.44,31.19,26.08,11.96,17.61
0,2019_Feb_06_Phantom_Flight_4_269_HSV_V_fixed,4,269,2019:02:06 10:54:26,17.9,22.74,31.31,26.38,11.71,17.53
0,2019_Feb_06_Phantom_Flight_5_291_HSV_V_fixed,5,291,2019:02:06 11:12:41,19.4,23.07,30.99,26.31,12.61,17.71
0,2019_Feb_06_Phantom_Flight_2_152_HSV_V_fixed,2,152,2019:02:06 09:42:47,16.88,21.57,31.92,25.97,8.88,14.96
0,2019_Feb_06_Phantom_Flight_2_69_HSV_V_fixed,2,69,2019:02:06 09:39:59,20.02,23.57,31.57,26.74,11.37,16.74
0,2019_Feb_06_Phantom_Flight_2_366_HSV_V_fixed,2,366,2019:02:06 09:49:59,22.02,23.72,31.48,26.2,13.71,17.9
0,2019_Feb_06_Phantom_Flight_5_74_HSV_V_fixed,5,74,2019:02:06 11:05:27,19.47,22.3,31.91,26.64,13.2,17.38
0,2019_Feb_06_Phantom_Flight_4_326_HSV_V_fixed,4,326,2019:02:06 10:56:20,15.41,21.13,31.7,26.45,9.29,15.23
0,2019_Feb_06_Phantom_Flight_1_476_HSV_V_fixed,1,476,2019:02:06 10:14:40,21.3,23.43,31.05,26.35,11.23,16.54
0,2019_Feb_06_Phantom_Flight_3_305_HSV_V_fixed,3,305,2019:02:06 10:33:09,20.53,23.23,31.91,26.65,12.09,17.17
0,2019_Feb_06_Phantom_Flight_5_237_HSV_V_fixed,5,237,2019:02:06 11:10:53,21.5,23.93,31.28,25.8,14.4,19.06
0,2019_Feb_06_Phantom_Flight_2_214_HSV_V_fixed,2,214,2019:02:06 09:44:51,18.82,23.48,31.57,26.28,10.33,16.52
0,2019_Feb_06_Phantom_Flight_3_277_HSV_V_fixed,3,277,2019:02:06 10:32:13,19.94,22.2,30.63,26.0,11.39,15.91
0,2019_Feb_06_Phantom_Flight_4_254_HSV_V_fixed,4,254,2019:02:06 10:53:56,16.73,22.53,31.23,26.49,11.32,17.58
0,2019_Feb_06_Phantom_Flight_3_197_HSV_V_fixed,3,197,2019:02:06 10:29:33,18.03,22.65,31.08,25.72,9.57,15.44
0,2019_Feb_06_Phantom_Flight_2_54_HSV_V_fixed,2,54,2019:02:06 09:39:29,22.43,24.58,30.92,26.18,13.25,18.37
0,2019_Feb_06_Phantom_Flight_1_504_HSV_V_fixed,1,504,2019:02:06 10:15:36,21.87,23.78,30.95,26.32,11.45,16.53
0,2019_Feb_06_Phantom_Flight_3_82_HSV_V_fixed,3,82,2019:02:06 10:25:43,17.22,23.6,31.57,25.48,8.91,16.35
0,2019_Feb_06_Phantom_Flight_5_49_HSV_V_fixed,5,49,2019:02:06 11:04:37,20.02,22.93,31.29,26.35,13.96,18.18
0,2019_Feb_06_Phantom_Flight_3_338_HSV_V_fixed,3,338,2019:02:06 10:34:15,18.96,21.71,31.56,26.25,10.52,15.13
0,2019_Feb_06_Phantom_Flight_1_369_HSV_V_fixed,1,369,2019:02:06 10:11:04,17.28,23.52,30.83,25.95,8.13,15.52
0,2019_Feb_06_Phantom_Flight_1_226_HSV_V_fixed,1,226,2019:02:06 10:06:14,21.2,22.88,31.58,26.81,10.9,15.12
0,2019_Feb_06_Phantom_Flight_2_444_HSV_V_fixed,2,444,2019:02:06 09:52:35,22.56,23.62,31.72,26.91,14.0,17.4
0,2019_Feb_06_Phantom_Flight_1_354_HSV_V_fixed,1,354,2019:02:06 10:10:34,16.72,23.38,31.19,25.49,8.06,15.3
0,2019_Feb_06_Phantom_Flight_1_280_HSV_V_fixed,1,280,2019:02:06 10:08:06,18.11,22.4,31.28,25.83,8.49,14.43
0,2019_Feb_06_Phantom_Flight_1_160_HSV_V_fixed,1,160,2019:02:06 10:04:02,21.92,23.13,30.14,26.04,10.84,15.34
0,2019_Feb_06_Phantom_Flight_1_431_HSV_V_fixed,1,431,2019:02:06 10:13:10,18.16,22.98,31.58,26.36,8.79,15.17
0,2019_Feb_06_Phantom_Flight_5_33_HSV_V_fixed,5,33,2019:02:06 11:04:05,17.92,22.55,30.97,26.35,12.45,17.67
0,2019_Feb_06_Phantom_Flight_3_342_HSV_V_fixed,3,342,2019:02:06 10:34:23,18.83,21.6,31.43,26.24,10.42,14.95
0,2019_Feb_06_Phantom_Flight_2_321_HSV_V_fixed,2,321,2019:02:06 09:48:29,20.51,24.27,30.73,25.67,11.38,17.57
0,2019_Feb_06_Phantom_Flight_3_63_HSV_V_fixed,3,63,2019:02:06 10:25:05,17.33,23.78,31.56,26.47,8.8,16.42
0,2019_Feb_06_Phantom_Flight_5_302_HSV_V_fixed,5,302,2019:02:06 11:13:03,18.73,22.63,31.32,26.57,11.92,17.16
0,2019_Feb_06_Phantom_Flight_5_136_HSV_V_fixed,5,136,2019:02:06 11:07:31,19.06,23.25,31.32,26.42,12.64,17.8
0,2019_Feb_06_Phantom_Flight_2_115_HSV_V_fixed,2,115,2019:02:06 09:41:33,18.1,23.57,32.67,26.95,9.77,16.88
0,2019_Feb_06_Phantom_Flight_3_176_HSV_V_fixed,3,176,2019:02:06 10:28:51,17.01,22.29,31.63,26.55,8.79,14.9
0,2019_Feb_06_Phantom_Flight_4_155_HSV_V_fixed,4,155,2019:02:06 10:50:38,19.48,22.87,31.79,26.57,12.68,17.14
0,2019_Feb_06_Phantom_Flight_3_296_HSV_V_fixed,3,296,2019:02:06 10:32:51,20.44,22.82,31.11,25.75,11.83,16.79
0,2019_Feb_06_Phantom_Flight_2_387_HSV_V_fixed,2,387,2019:02:06 09:50:41,23.53,23.18,31.76,26.27,15.13,17.28
0,2019_Feb_06_Phantom_Flight_5_95_HSV_V_fixed,5,95,2019:02:06 11:06:09,19.0,23.49,30.97,26.14,12.48,18.23
0,2019_Feb_06_Phantom_Flight_1_497_HSV_V_fixed,1,497,2019:02:06 10:15:22,22.0,24.04,31.33,26.54,11.47,16.58
0,2019_Feb_06_Phantom_Flight_3_230_HSV_V_fixed,3,230,2019:02:06 10:30:39,21.05,23.65,30.85,25.54,12.02,17.39
0,2019_Feb_06_Phantom_Flight_2_128_HSV_V_fixed,2,128,2019:02:06 09:41:59,19.77,24.34,30.81,26.19,11.08,17.73
0,2019_Feb_06_Phantom_Flight_4_213_HSV_V_fixed,4,213,2019:02:06 10:52:34,18.4,23.17,31.23,26.52,11.28,17.43
0,2019_Feb_06_Phantom_Flight_4_288_HSV_V_fixed,4,288,2019:02:06 10:55:04,18.78,23.04,31.07,26.43,12.42,17.63
